date;Teaching;Eva Perón;Energy bills;Guernsey;air travel;isPartial
2023-01-01;33;0;6;9;6;False
2023-01-02;57;0;10;13;7;False
2023-01-03;73;0;11;14;5;False
2023-01-04;77;0;12;13;7;False
2023-01-05;75;0;10;12;6;False
2023-01-06;65;0;7;10;6;False
2023-01-07;53;0;6;66;4;False
2023-01-08;61;0;5;19;7;False
2023-01-09;77;0;11;13;4;False
2023-01-10;79;0;11;14;6;False
2023-01-11;78;0;8;14;7;False
2023-01-12;78;0;10;15;6;False
2023-01-13;66;0;9;14;5;False
2023-01-14;46;0;4;13;5;False
2023-01-15;64;1;6;11;5;False
2023-01-16;97;0;8;14;6;False
2023-01-17;85;0;10;15;5;False
2023-01-18;90;0;9;14;7;False
2023-01-19;81;0;8;13;6;False
2023-01-20;70;0;8;15;5;False
2023-01-21;53;0;7;13;5;False
2023-01-22;64;0;6;12;6;False
2023-01-23;83;0;14;16;6;False
2023-01-24;91;0;10;14;4;False
2023-01-25;85;0;8;13;6;False
2023-01-26;85;0;9;14;6;False
2023-01-27;69;0;6;12;4;False
2023-01-28;48;2;5;12;5;False
2023-01-29;67;0;8;12;5;False
2023-01-30;84;0;8;13;8;False
2023-01-31;100;0;6;12;7;False
