date;Wales rugby union team;Noah Baumbach;cornwall;taylor swift;air travel;isPartial
2023-01-01;0;2;51;22;2;False
2023-01-02;0;1;52;14;3;False
2023-01-03;0;0;50;11;2;False
2023-01-04;0;0;51;15;2;False
2023-01-05;0;1;44;13;2;False
2023-01-06;0;0;47;14;2;False
2023-01-07;0;1;48;14;1;False
2023-01-08;1;0;54;13;2;False
2023-01-09;0;0;100;11;1;False
2023-01-10;0;0;62;12;2;False
2023-01-11;0;0;52;11;3;False
2023-01-12;0;0;49;15;2;False
2023-01-13;0;0;44;25;2;False
2023-01-14;0;0;45;17;2;False
2023-01-15;0;0;52;22;2;False
2023-01-16;0;0;47;15;2;False
2023-01-17;0;0;57;12;2;False
2023-01-18;0;1;50;12;2;False
2023-01-19;0;0;46;12;2;False
2023-01-20;0;0;44;14;2;False
2023-01-21;0;0;43;17;2;False
2023-01-22;0;0;50;15;2;False
2023-01-23;0;0;48;13;2;False
2023-01-24;0;0;45;12;2;False
2023-01-25;0;0;45;13;2;False
2023-01-26;0;0;46;13;2;False
2023-01-27;0;0;45;16;1;False
2023-01-28;0;0;41;15;2;False
2023-01-29;0;0;49;14;2;False
2023-01-30;0;0;49;15;3;False
2023-01-31;0;1;47;12;2;False
