date;Tibet;Capital gains tax;Yair Lapid;Jersey;air travel;isPartial
2023-01-01;5;8;0;93;8;False
2023-01-02;6;13;0;88;9;False
2023-01-03;3;14;0;86;6;False
2023-01-04;4;19;0;90;9;False
2023-01-05;5;14;0;86;7;False
2023-01-06;5;18;0;84;7;False
2023-01-07;4;12;0;93;5;False
2023-01-08;6;14;0;94;9;False
2023-01-09;4;16;0;86;5;False
2023-01-10;3;18;0;86;8;False
2023-01-11;3;19;0;86;9;False
2023-01-12;4;17;0;88;8;False
2023-01-13;3;19;0;81;6;False
2023-01-14;5;15;0;92;6;False
2023-01-15;5;16;0;90;7;False
2023-01-16;3;21;1;87;7;False
2023-01-17;2;19;0;85;6;False
2023-01-18;2;18;0;84;8;False
2023-01-19;4;17;1;79;7;False
2023-01-20;4;16;0;89;6;False
2023-01-21;4;16;0;94;6;False
2023-01-22;4;15;0;100;7;False
2023-01-23;5;22;0;92;7;False
2023-01-24;3;21;0;96;6;False
2023-01-25;2;18;0;86;8;False
2023-01-26;4;22;0;81;7;False
2023-01-27;3;21;0;88;5;False
2023-01-28;4;14;1;88;7;False
2023-01-29;4;15;0;97;6;False
2023-01-30;3;23;1;99;10;False
2023-01-31;5;24;0;91;9;False
