date;Waitrose;Chichester Festival theatre;Shellfish;Tuition fees;air travel;isPartial
2023-01-01;100;1;0;0;3;False
2023-01-02;95;0;1;1;3;False
2023-01-03;50;0;1;0;2;False
2023-01-04;51;0;1;1;3;False
2023-01-05;45;1;1;1;3;False
2023-01-06;51;0;1;2;3;False
2023-01-07;52;1;1;0;2;False
2023-01-08;58;0;0;1;3;False
2023-01-09;44;0;1;1;2;False
2023-01-10;43;1;1;1;3;False
2023-01-11;43;0;1;1;3;False
2023-01-12;50;1;1;1;3;False
2023-01-13;51;1;1;1;2;False
2023-01-14;59;1;2;1;2;False
2023-01-15;56;1;2;1;2;False
2023-01-16;38;1;1;2;2;False
2023-01-17;42;1;1;1;2;False
2023-01-18;44;1;1;1;3;False
2023-01-19;46;1;1;1;3;False
2023-01-20;51;0;2;1;2;False
2023-01-21;57;0;1;1;2;False
2023-01-22;58;1;1;1;3;False
2023-01-23;41;1;1;1;3;False
2023-01-24;45;1;1;1;2;False
2023-01-25;44;0;1;1;3;False
2023-01-26;44;1;1;1;2;False
2023-01-27;41;1;1;1;2;False
2023-01-28;52;1;1;1;2;False
2023-01-29;57;0;2;1;2;False
2023-01-30;45;1;1;1;4;False
2023-01-31;44;0;1;1;3;False
