date;Meat industry;Immigration and asylum;Clowns ;cheryl;air travel;isPartial
2023-01-01;0;0;9;45;18;False
2023-01-02;2;0;8;35;21;False
2023-01-03;0;0;5;28;14;False
2023-01-04;1;2;4;35;21;False
2023-01-05;0;0;3;38;17;False
2023-01-06;0;0;7;42;17;False
2023-01-07;0;1;4;39;13;False
2023-01-08;0;0;7;40;20;False
2023-01-09;0;1;5;34;12;False
2023-01-10;0;0;9;32;19;False
2023-01-11;0;0;7;26;21;False
2023-01-12;0;0;5;23;18;False
2023-01-13;0;0;4;29;14;False
2023-01-14;0;1;6;29;13;False
2023-01-15;2;1;2;30;16;False
2023-01-16;0;1;5;24;16;False
2023-01-17;0;0;3;23;13;False
2023-01-18;0;3;5;34;19;False
2023-01-19;1;0;8;34;17;False
2023-01-20;0;0;5;38;14;False
2023-01-21;0;0;5;86;15;False
2023-01-22;0;0;7;100;16;False
2023-01-23;5;0;7;53;17;False
2023-01-24;2;0;6;38;13;False
2023-01-25;0;0;6;42;18;False
2023-01-26;3;3;6;35;16;False
2023-01-27;2;2;8;33;11;False
2023-01-28;1;4;6;46;16;False
2023-01-29;0;0;9;38;14;False
2023-01-30;0;0;8;36;24;False
2023-01-31;0;1;3;60;20;False
