date;Manchester City;Memphis;Austria;Potatoes;air travel;isPartial
2023-01-01;21;4;21;97;3;False
2023-01-02;21;5;21;71;4;False
2023-01-03;23;5;22;50;3;False
2023-01-04;22;4;21;50;4;False
2023-01-05;46;5;20;45;3;False
2023-01-06;28;4;17;46;3;False
2023-01-07;24;6;22;56;2;False
2023-01-08;62;5;22;98;4;False
2023-01-09;22;4;19;47;2;False
2023-01-10;29;4;17;50;4;False
2023-01-11;55;3;17;45;4;False
2023-01-12;32;5;17;46;3;False
2023-01-13;27;7;16;41;3;False
2023-01-14;100;6;18;52;3;False
2023-01-15;26;7;22;89;3;False
2023-01-16;23;7;16;50;3;False
2023-01-17;21;5;17;46;3;False
2023-01-18;25;9;16;45;4;False
2023-01-19;64;6;14;45;3;False
2023-01-20;29;8;17;42;3;False
2023-01-21;29;14;16;56;3;False
2023-01-22;62;11;16;89;3;False
2023-01-23;25;5;16;49;3;False
2023-01-24;19;5;18;49;3;False
2023-01-25;23;3;13;50;3;False
2023-01-26;23;6;14;42;3;False
2023-01-27;64;23;17;40;2;False
2023-01-28;29;43;15;45;3;False
2023-01-29;22;15;17;77;3;False
2023-01-30;23;10;15;45;5;False
2023-01-31;22;7;16;46;4;False
