date;Mogwai;A&E;Higher education policy;Schitt's Creek;air travel;isPartial
2023-01-01;4;40;0;2;10;False
2023-01-02;2;46;0;2;12;False
2023-01-03;1;52;2;2;8;False
2023-01-04;2;100;1;1;11;False
2023-01-05;1;57;3;2;9;False
2023-01-06;2;48;1;4;9;False
2023-01-07;3;44;0;3;7;False
2023-01-08;2;37;0;2;11;False
2023-01-09;3;40;0;2;6;False
2023-01-10;0;38;0;3;10;False
2023-01-11;2;35;0;2;12;False
2023-01-12;1;39;0;3;10;False
2023-01-13;1;29;0;2;8;False
2023-01-14;3;28;0;4;7;False
2023-01-15;2;26;1;3;9;False
2023-01-16;2;29;1;3;9;False
2023-01-17;1;33;1;3;7;False
2023-01-18;2;30;0;3;10;False
2023-01-19;2;30;0;3;9;False
2023-01-20;3;24;1;2;8;False
2023-01-21;2;26;0;1;8;False
2023-01-22;3;29;0;3;9;False
2023-01-23;1;29;0;2;9;False
2023-01-24;2;29;0;2;7;False
2023-01-25;3;32;0;2;10;False
2023-01-26;1;23;0;2;9;False
2023-01-27;1;29;0;2;6;False
2023-01-28;2;27;0;3;8;False
2023-01-29;1;24;1;1;8;False
2023-01-30;1;29;0;1;13;False
2023-01-31;2;29;0;1;11;False
