date;Māori;US immigration;Vivien Leigh;ireland;air travel;isPartial
2023-01-01;0;0;0;79;2;False
2023-01-02;0;0;0;86;3;False
2023-01-03;0;0;0;94;2;False
2023-01-04;0;0;1;92;3;False
2023-01-05;0;0;0;85;2;False
2023-01-06;0;0;0;86;2;False
2023-01-07;0;0;0;88;2;False
2023-01-08;0;0;0;84;3;False
2023-01-09;0;0;0;89;2;False
2023-01-10;0;0;0;95;2;False
2023-01-11;0;0;0;86;3;False
2023-01-12;0;1;0;89;2;False
2023-01-13;0;0;0;80;2;False
2023-01-14;0;0;0;75;2;False
2023-01-15;0;0;1;82;2;False
2023-01-16;0;0;0;91;2;False
2023-01-17;0;0;0;92;2;False
2023-01-18;0;0;0;92;2;False
2023-01-19;0;0;0;87;2;False
2023-01-20;0;0;0;87;2;False
2023-01-21;0;0;0;85;2;False
2023-01-22;0;0;0;86;2;False
2023-01-23;0;0;0;100;2;False
2023-01-24;0;0;0;92;2;False
2023-01-25;0;0;0;89;2;False
2023-01-26;0;0;0;84;2;False
2023-01-27;0;0;0;79;1;False
2023-01-28;0;0;0;76;2;False
2023-01-29;0;0;0;79;2;False
2023-01-30;0;0;0;95;3;False
2023-01-31;0;1;0;91;3;False
