date;tiktok;international space station;Graduate careers;Orchestra of the Age of Enlightenment;air travel;isPartial
2023-01-01;98;1;0;0;3;False
2023-01-02;97;0;0;0;3;False
2023-01-03;92;0;1;0;2;False
2023-01-04;88;1;1;0;3;False
2023-01-05;86;0;1;0;3;False
2023-01-06;89;0;1;0;3;False
2023-01-07;90;1;0;0;2;False
2023-01-08;95;1;1;0;3;False
2023-01-09;87;0;1;0;2;False
2023-01-10;86;0;1;0;3;False
2023-01-11;86;0;1;0;3;False
2023-01-12;88;1;1;0;3;False
2023-01-13;85;0;1;0;2;False
2023-01-14;91;0;0;0;2;False
2023-01-15;92;1;0;0;3;False
2023-01-16;85;0;1;0;3;False
2023-01-17;80;0;1;0;2;False
2023-01-18;82;1;1;0;3;False
2023-01-19;84;0;2;0;3;False
2023-01-20;88;1;0;0;2;False
2023-01-21;96;1;0;0;2;False
2023-01-22;92;1;1;0;3;False
2023-01-23;82;0;1;0;3;False
2023-01-24;88;1;1;0;2;False
2023-01-25;85;1;1;0;3;False
2023-01-26;81;1;1;0;3;False
2023-01-27;87;1;0;0;2;False
2023-01-28;94;1;0;0;3;False
2023-01-29;100;0;0;0;2;False
2023-01-30;84;1;1;0;4;False
2023-01-31;85;1;1;0;3;False
