date;Technology startups;Cop26;People in science;Nan Goldin;air travel;isPartial
2023-01-01;0;11;0;0;76;False
2023-01-02;6;0;0;0;90;False
2023-01-03;0;5;0;5;59;False
2023-01-04;0;12;0;0;89;False
2023-01-05;0;0;0;0;73;False
2023-01-06;0;0;0;0;73;False
2023-01-07;6;6;0;6;53;False
2023-01-08;0;7;10;0;84;False
2023-01-09;0;0;0;5;50;False
2023-01-10;7;8;11;8;79;False
2023-01-11;0;13;0;0;90;False
2023-01-12;0;0;0;5;75;False
2023-01-13;0;11;11;0;60;False
2023-01-14;0;0;6;8;56;False
2023-01-15;12;0;0;10;66;False
2023-01-16;0;22;7;0;68;False
2023-01-17;5;10;16;7;56;False
2023-01-18;0;0;5;16;80;False
2023-01-19;0;11;6;8;73;False
2023-01-20;0;5;9;10;59;False
2023-01-21;0;5;0;5;63;False
2023-01-22;0;0;11;16;70;False
2023-01-23;0;19;0;8;72;False
2023-01-24;7;18;0;18;55;False
2023-01-25;10;19;0;22;75;False
2023-01-26;0;5;9;13;68;False
2023-01-27;0;15;0;25;47;False
2023-01-28;0;0;5;61;66;False
2023-01-29;0;5;0;52;60;False
2023-01-30;0;0;6;27;100;False
2023-01-31;0;0;11;34;84;False
