date;Transgender;Judaism;Chechnya;Indian food and drink;air travel;isPartial
2023-01-01;29;6;0;3;16;False
2023-01-02;29;13;3;4;19;False
2023-01-03;28;13;2;0;12;False
2023-01-04;33;8;2;0;18;False
2023-01-05;33;14;1;2;15;False
2023-01-06;34;10;4;0;15;False
2023-01-07;30;7;2;0;11;False
2023-01-08;28;6;2;0;17;False
2023-01-09;39;18;1;0;10;False
2023-01-10;23;13;0;0;16;False
2023-01-11;27;9;2;1;18;False
2023-01-12;32;13;0;0;15;False
2023-01-13;28;9;0;0;12;False
2023-01-14;27;8;1;0;11;False
2023-01-15;35;11;2;0;14;False
2023-01-16;50;15;2;0;14;False
2023-01-17;55;13;2;0;11;False
2023-01-18;39;11;2;0;16;False
2023-01-19;39;11;1;0;15;False
2023-01-20;29;9;0;0;12;False
2023-01-21;35;6;0;0;13;False
2023-01-22;38;15;3;0;14;False
2023-01-23;29;10;4;1;15;False
2023-01-24;43;11;0;0;11;False
2023-01-25;52;11;0;0;15;False
2023-01-26;100;11;3;0;14;False
2023-01-27;58;9;3;0;10;False
2023-01-28;38;5;3;0;14;False
2023-01-29;53;10;3;0;12;False
2023-01-30;44;11;1;0;21;False
2023-01-31;41;13;3;0;17;False
