date;Udinese;Literary criticism;Paul Merton;PSV Eindhoven;air travel;isPartial
2023-01-01;4;5;100;2;21;False
2023-01-02;3;0;26;0;24;False
2023-01-03;3;0;9;0;16;False
2023-01-04;15;0;13;0;24;False
2023-01-05;6;0;4;3;20;False
2023-01-06;2;0;5;0;20;False
2023-01-07;42;0;13;5;14;False
2023-01-08;5;0;99;0;23;False
2023-01-09;2;0;17;1;13;False
2023-01-10;0;0;24;5;21;False
2023-01-11;0;0;12;2;24;False
2023-01-12;3;0;6;0;20;False
2023-01-13;5;1;8;0;16;False
2023-01-14;0;0;10;6;15;False
2023-01-15;17;2;67;4;18;False
2023-01-16;0;0;20;3;18;False
2023-01-17;4;3;8;3;15;False
2023-01-18;0;0;4;2;22;False
2023-01-19;0;0;8;5;20;False
2023-01-20;0;0;2;1;16;False
2023-01-21;6;0;4;2;17;False
2023-01-22;19;0;60;3;19;False
2023-01-23;5;0;12;3;19;False
2023-01-24;3;3;6;8;15;False
2023-01-25;4;0;5;7;20;False
2023-01-26;4;0;4;0;18;False
2023-01-27;0;0;3;5;13;False
2023-01-28;0;0;6;3;18;False
2023-01-29;8;0;9;4;16;False
2023-01-30;62;0;10;0;27;False
2023-01-31;18;0;2;2;23;False
