date;Bayer;George Michael;Household bills;Murray-Darling Basin;air travel;isPartial
2023-01-01;14;100;0;0;26;False
2023-01-02;12;53;5;0;31;False
2023-01-03;16;30;2;0;20;False
2023-01-04;10;30;3;0;30;False
2023-01-05;18;34;3;0;25;False
2023-01-06;10;51;8;0;25;False
2023-01-07;4;44;2;0;18;False
2023-01-08;14;45;3;0;29;False
2023-01-09;10;29;2;0;17;False
2023-01-10;14;29;7;0;27;False
2023-01-11;16;39;0;0;31;False
2023-01-12;13;44;4;0;25;False
2023-01-13;18;47;6;0;20;False
2023-01-14;9;59;0;0;19;False
2023-01-15;9;68;0;0;23;False
2023-01-16;14;33;6;0;23;False
2023-01-17;18;42;2;0;19;False
2023-01-18;23;40;0;0;27;False
2023-01-19;13;40;3;0;25;False
2023-01-20;12;46;0;0;20;False
2023-01-21;13;63;2;0;21;False
2023-01-22;16;47;4;0;24;False
2023-01-23;20;30;6;0;24;False
2023-01-24;23;31;5;0;19;False
2023-01-25;24;26;3;0;26;False
2023-01-26;13;35;4;0;23;False
2023-01-27;13;42;4;0;16;False
2023-01-28;6;29;0;0;22;False
2023-01-29;24;43;3;0;21;False
2023-01-30;16;27;4;0;34;False
2023-01-31;13;25;2;0;29;False
