date;Marvin Gaye;Oklahoma City Thunder;Inequality;European monetary union;air travel;isPartial
2023-01-01;100;0;10;0;20;False
2023-01-02;48;0;12;0;23;False
2023-01-03;8;2;17;0;15;False
2023-01-04;8;0;20;0;23;False
2023-01-05;7;0;29;0;19;False
2023-01-06;9;0;21;2;19;False
2023-01-07;17;2;17;0;14;False
2023-01-08;12;0;23;0;22;False
2023-01-09;5;2;31;0;13;False
2023-01-10;5;2;26;2;20;False
2023-01-11;5;0;32;0;23;False
2023-01-12;5;0;22;0;19;False
2023-01-13;9;0;17;0;15;False
2023-01-14;13;0;16;0;14;False
2023-01-15;8;0;22;0;17;False
2023-01-16;9;0;32;0;17;False
2023-01-17;9;0;27;0;14;False
2023-01-18;8;1;28;0;20;False
2023-01-19;8;0;24;0;19;False
2023-01-20;11;0;17;0;15;False
2023-01-21;12;0;11;0;16;False
2023-01-22;9;2;20;0;18;False
2023-01-23;7;0;26;0;18;False
2023-01-24;7;3;28;0;14;False
2023-01-25;8;1;28;0;19;False
2023-01-26;4;0;23;0;17;False
2023-01-27;7;0;19;0;12;False
2023-01-28;11;0;13;0;17;False
2023-01-29;10;0;20;0;15;False
2023-01-30;12;0;28;0;26;False
2023-01-31;7;0;22;0;21;False
