date;Albania;windrush;european union;Ingmar Bergman;air travel;isPartial
2023-01-01;73;10;29;0;23;False
2023-01-02;100;18;18;0;27;False
2023-01-03;82;24;12;0;18;False
2023-01-04;74;20;14;0;27;False
2023-01-05;64;13;11;1;22;False
2023-01-06;65;10;11;0;22;False
2023-01-07;74;12;12;2;16;False
2023-01-08;88;12;10;2;26;False
2023-01-09;64;13;14;0;15;False
2023-01-10;70;17;13;3;24;False
2023-01-11;67;13;15;0;27;False
2023-01-12;74;16;14;0;23;False
2023-01-13;69;12;13;0;18;False
2023-01-14;79;15;5;0;17;False
2023-01-15;89;10;6;0;20;False
2023-01-16;76;17;21;2;21;False
2023-01-17;93;10;13;0;17;False
2023-01-18;70;12;14;0;24;False
2023-01-19;54;14;13;0;22;False
2023-01-20;62;19;15;0;18;False
2023-01-21;96;9;8;0;19;False
2023-01-22;75;10;14;2;21;False
2023-01-23;61;19;12;0;22;False
2023-01-24;75;26;9;0;17;False
2023-01-25;67;13;22;2;23;False
2023-01-26;65;44;10;0;21;False
2023-01-27;63;22;14;2;14;False
2023-01-28;70;8;6;3;20;False
2023-01-29;72;12;6;0;18;False
2023-01-30;66;12;10;0;30;False
2023-01-31;66;16;16;0;25;False
