date;Research funding;Grenfell Tower inquiry;John Peel;Brunel University London;air travel;isPartial
2023-01-01;0;0;16;0;76;False
2023-01-02;0;0;0;13;90;False
2023-01-03;9;0;15;0;59;False
2023-01-04;18;0;20;5;89;False
2023-01-05;5;0;7;0;73;False
2023-01-06;11;0;27;0;73;False
2023-01-07;9;0;36;0;53;False
2023-01-08;9;0;37;0;84;False
2023-01-09;15;0;17;5;50;False
2023-01-10;12;0;25;14;79;False
2023-01-11;18;0;22;0;90;False
2023-01-12;16;0;11;14;75;False
2023-01-13;19;0;32;0;60;False
2023-01-14;6;0;23;6;56;False
2023-01-15;10;0;13;5;66;False
2023-01-16;12;0;8;14;68;False
2023-01-17;10;6;13;15;56;False
2023-01-18;14;0;12;12;80;False
2023-01-19;19;0;9;8;73;False
2023-01-20;0;0;13;10;59;False
2023-01-21;5;0;20;0;63;False
2023-01-22;0;5;14;12;70;False
2023-01-23;8;0;11;15;72;False
2023-01-24;8;0;17;7;55;False
2023-01-25;14;7;14;0;75;False
2023-01-26;17;0;12;0;68;False
2023-01-27;17;0;14;5;47;False
2023-01-28;0;0;20;5;66;False
2023-01-29;7;5;16;0;60;False
2023-01-30;12;22;12;9;100;False
2023-01-31;16;0;0;9;84;False
