date;Australia women's cricket team;Jacksonville Jaguars;Beth Orton;Roger Goodell;air travel;isPartial
2023-01-01;7;22;0;5;73;False
2023-01-02;0;20;0;0;86;False
2023-01-03;5;8;6;13;56;False
2023-01-04;0;6;0;0;84;False
2023-01-05;0;19;0;0;69;False
2023-01-06;0;15;0;0;70;False
2023-01-07;0;17;7;0;51;False
2023-01-08;0;80;0;13;80;False
2023-01-09;0;41;0;0;48;False
2023-01-10;0;7;0;0;75;False
2023-01-11;6;13;0;8;85;False
2023-01-12;0;13;0;0;71;False
2023-01-13;0;11;7;0;57;False
2023-01-14;0;21;7;0;53;False
2023-01-15;5;100;0;0;63;False
2023-01-16;0;28;0;0;65;False
2023-01-17;0;15;14;0;53;False
2023-01-18;0;0;4;7;76;False
2023-01-19;0;28;0;0;69;False
2023-01-20;0;6;0;0;56;False
2023-01-21;0;62;8;5;60;False
2023-01-22;0;60;0;10;67;False
2023-01-23;0;13;0;0;68;False
2023-01-24;0;0;0;0;52;False
2023-01-25;0;5;0;0;72;False
2023-01-26;0;10;0;0;65;False
2023-01-27;0;6;9;0;45;False
2023-01-28;0;8;0;0;63;False
2023-01-29;0;0;0;0;57;False
2023-01-30;0;0;0;9;95;False
2023-01-31;13;0;0;0;80;False
