date;Penny Wong;Planning policy;Australian art;Holocaust;air travel;isPartial
2023-01-01;0;1;1;4;5;False
2023-01-02;0;1;0;4;6;False
2023-01-03;0;2;0;5;4;False
2023-01-04;0;1;0;6;5;False
2023-01-05;0;1;0;7;5;False
2023-01-06;0;1;0;5;5;False
2023-01-07;0;0;1;4;3;False
2023-01-08;0;0;0;7;5;False
2023-01-09;0;3;0;11;3;False
2023-01-10;1;2;1;9;5;False
2023-01-11;0;1;0;15;6;False
2023-01-12;0;1;0;11;5;False
2023-01-13;0;2;0;9;4;False
2023-01-14;0;0;0;10;3;False
2023-01-15;0;0;0;10;4;False
2023-01-16;0;1;0;12;4;False
2023-01-17;0;1;0;12;3;False
2023-01-18;0;2;1;12;5;False
2023-01-19;0;2;1;12;4;False
2023-01-20;0;1;0;11;4;False
2023-01-21;1;0;0;8;4;False
2023-01-22;1;0;0;13;4;False
2023-01-23;0;2;0;31;4;False
2023-01-24;0;2;1;26;3;False
2023-01-25;0;1;0;37;5;False
2023-01-26;0;2;0;38;4;False
2023-01-27;2;1;0;100;3;False
2023-01-28;0;0;0;22;4;False
2023-01-29;0;0;0;19;4;False
2023-01-30;0;1;0;14;6;False
2023-01-31;0;1;0;10;5;False
