date;Apple Arcade;Royal Navy;Austerity;Hobbies;air travel;isPartial
2023-01-01;12;44;5;33;25;False
2023-01-02;6;38;6;38;30;False
2023-01-03;10;39;6;31;19;False
2023-01-04;5;40;4;27;29;False
2023-01-05;6;40;9;19;24;False
2023-01-06;0;43;6;23;24;False
2023-01-07;0;45;7;32;18;False
2023-01-08;7;46;15;31;28;False
2023-01-09;3;39;6;20;16;False
2023-01-10;7;55;9;35;26;False
2023-01-11;6;52;8;29;30;False
2023-01-12;5;100;13;37;25;False
2023-01-13;6;50;7;21;20;False
2023-01-14;7;40;5;24;19;False
2023-01-15;3;45;9;32;22;False
2023-01-16;2;49;9;26;23;False
2023-01-17;4;50;6;34;18;False
2023-01-18;4;41;10;36;26;False
2023-01-19;6;38;7;24;24;False
2023-01-20;2;48;5;25;20;False
2023-01-21;7;51;3;36;21;False
2023-01-22;5;60;0;36;23;False
2023-01-23;2;57;8;31;24;False
2023-01-24;3;57;8;29;18;False
2023-01-25;5;47;6;24;25;False
2023-01-26;7;53;5;28;22;False
2023-01-27;5;55;6;22;16;False
2023-01-28;7;53;4;30;22;False
2023-01-29;5;67;5;29;20;False
2023-01-30;6;64;6;25;33;False
2023-01-31;5;56;6;27;28;False
