date;Ofcom;Life and style;conservation;Photography;air travel;isPartial
2023-01-01;3;4;9;68;8;False
2023-01-02;2;0;11;70;9;False
2023-01-03;3;0;19;80;6;False
2023-01-04;4;1;18;86;9;False
2023-01-05;5;0;20;86;7;False
2023-01-06;4;0;17;88;7;False
2023-01-07;3;0;11;68;5;False
2023-01-08;2;1;15;88;9;False
2023-01-09;4;0;22;96;5;False
2023-01-10;5;0;22;99;8;False
2023-01-11;7;0;20;95;9;False
2023-01-12;5;0;21;97;8;False
2023-01-13;6;0;16;82;6;False
2023-01-14;2;0;12;72;6;False
2023-01-15;2;1;14;88;7;False
2023-01-16;7;0;22;95;7;False
2023-01-17;7;0;21;91;6;False
2023-01-18;7;1;23;89;8;False
2023-01-19;8;1;20;87;7;False
2023-01-20;11;0;15;86;6;False
2023-01-21;1;1;10;77;6;False
2023-01-22;2;0;14;79;7;False
2023-01-23;4;0;24;98;7;False
2023-01-24;5;1;20;98;6;False
2023-01-25;7;1;22;88;8;False
2023-01-26;6;0;20;89;7;False
2023-01-27;3;1;18;81;5;False
2023-01-28;3;0;11;78;7;False
2023-01-29;3;1;14;80;6;False
2023-01-30;5;0;27;100;10;False
2023-01-31;6;1;20;92;9;False
