date;Richard Marles;Drawing;australian open;cardi b;air travel;isPartial
2023-01-01;0;17;2;1;1;False
2023-01-02;0;17;3;1;1;False
2023-01-03;0;19;1;1;1;False
2023-01-04;0;17;2;1;1;False
2023-01-05;0;18;2;1;1;False
2023-01-06;0;20;2;1;1;False
2023-01-07;0;18;3;1;1;False
2023-01-08;0;20;4;1;1;False
2023-01-09;0;19;4;1;1;False
2023-01-10;0;20;4;1;1;False
2023-01-11;0;20;4;1;1;False
2023-01-12;0;21;8;1;1;False
2023-01-13;0;19;7;1;1;False
2023-01-14;0;20;10;1;1;False
2023-01-15;0;20;15;1;1;False
2023-01-16;0;20;41;1;1;False
2023-01-17;0;20;52;1;1;False
2023-01-18;0;22;56;1;1;False
2023-01-19;0;21;100;1;1;False
2023-01-20;0;20;64;1;1;False
2023-01-21;0;20;82;1;1;False
2023-01-22;0;21;46;1;1;False
2023-01-23;0;21;38;1;1;False
2023-01-24;0;21;39;1;1;False
2023-01-25;0;20;38;1;1;False
2023-01-26;0;21;34;1;1;False
2023-01-27;0;20;37;1;1;False
2023-01-28;0;21;39;1;1;False
2023-01-29;0;20;51;1;1;False
2023-01-30;0;20;4;1;2;False
2023-01-31;0;20;2;1;1;False
