date;Katherine Ryan;Rap;Walsall;instagram;air travel;isPartial
2023-01-01;4;4;13;100;1;False
2023-01-02;2;4;12;88;1;False
2023-01-03;2;3;11;82;1;False
2023-01-04;1;3;10;82;1;False
2023-01-05;1;3;10;81;1;False
2023-01-06;3;4;11;73;1;False
2023-01-07;3;3;10;73;1;False
2023-01-08;1;4;15;90;1;False
2023-01-09;1;3;11;74;1;False
2023-01-10;1;3;12;79;1;False
2023-01-11;1;3;12;71;1;False
2023-01-12;1;4;11;80;1;False
2023-01-13;1;4;12;78;1;False
2023-01-14;1;4;12;77;1;False
2023-01-15;1;3;10;82;1;False
2023-01-16;1;3;12;84;1;False
2023-01-17;1;4;11;77;1;False
2023-01-18;1;4;13;77;1;False
2023-01-19;0;3;10;77;1;False
2023-01-20;0;4;10;80;1;False
2023-01-21;1;4;12;81;1;False
2023-01-22;0;4;10;86;1;False
2023-01-23;1;3;12;87;1;False
2023-01-24;0;4;11;77;1;False
2023-01-25;1;3;10;77;1;False
2023-01-26;1;4;11;74;1;False
2023-01-27;0;4;12;77;1;False
2023-01-28;7;4;29;74;1;False
2023-01-29;5;4;14;83;1;False
2023-01-30;2;4;13;77;1;False
2023-01-31;1;4;14;77;1;False
