date;storycast;Pastry;Backpacking holidays;Access to university;air travel;isPartial
2023-01-01;0;100;0;0;11;False
2023-01-02;0;83;0;2;13;False
2023-01-03;0;66;0;1;9;False
2023-01-04;1;57;0;1;13;False
2023-01-05;0;60;0;2;11;False
2023-01-06;0;67;0;4;11;False
2023-01-07;0;76;0;1;8;False
2023-01-08;0;89;3;5;13;False
2023-01-09;1;60;1;2;7;False
2023-01-10;1;64;0;2;12;False
2023-01-11;0;54;0;2;13;False
2023-01-12;1;61;0;0;11;False
2023-01-13;2;59;0;1;9;False
2023-01-14;0;75;1;0;8;False
2023-01-15;0;89;0;0;10;False
2023-01-16;1;58;0;3;10;False
2023-01-17;1;68;0;2;8;False
2023-01-18;0;55;0;2;12;False
2023-01-19;2;51;0;4;11;False
2023-01-20;0;65;1;2;9;False
2023-01-21;0;76;0;1;9;False
2023-01-22;1;90;1;1;10;False
2023-01-23;1;64;0;1;11;False
2023-01-24;0;63;0;2;8;False
2023-01-25;0;57;0;0;11;False
2023-01-26;0;56;0;1;10;False
2023-01-27;0;58;1;4;7;False
2023-01-28;0;76;0;2;10;False
2023-01-29;0;78;0;0;9;False
2023-01-30;0;60;1;1;15;False
2023-01-31;1;61;0;1;12;False
