date;BuzzFeed;Consumer affairs;Zero-hours contracts;Doris Lessing;air travel;isPartial
2023-01-01;78;0;0;0;44;False
2023-01-02;73;8;0;4;52;False
2023-01-03;69;0;0;0;34;False
2023-01-04;69;0;0;5;51;False
2023-01-05;79;0;0;0;42;False
2023-01-06;75;3;0;4;42;False
2023-01-07;59;0;0;0;31;False
2023-01-08;82;0;3;5;49;False
2023-01-09;66;0;0;0;29;False
2023-01-10;66;0;0;0;46;False
2023-01-11;64;0;0;0;52;False
2023-01-12;55;0;0;0;43;False
2023-01-13;71;0;0;0;35;False
2023-01-14;61;0;0;0;32;False
2023-01-15;64;0;0;0;38;False
2023-01-16;60;0;0;0;40;False
2023-01-17;59;0;6;3;32;False
2023-01-18;69;0;5;0;46;False
2023-01-19;56;0;0;0;42;False
2023-01-20;67;4;0;0;34;False
2023-01-21;57;0;0;0;36;False
2023-01-22;74;0;0;7;40;False
2023-01-23;75;0;6;0;42;False
2023-01-24;65;0;0;0;32;False
2023-01-25;85;0;0;0;44;False
2023-01-26;83;0;3;0;39;False
2023-01-27;100;0;0;5;27;False
2023-01-28;79;0;0;0;38;False
2023-01-29;76;0;0;0;35;False
2023-01-30;96;0;0;0;58;False
2023-01-31;73;0;0;0;48;False
