date;A-League Women;Marvel;palestinian territories;northumberland;air travel;isPartial
2023-01-01;0;87;0;36;6;False
2023-01-02;0;100;0;40;7;False
2023-01-03;0;83;0;37;4;False
2023-01-04;0;69;0;34;7;False
2023-01-05;0;63;0;32;5;False
2023-01-06;0;68;0;31;5;False
2023-01-07;0;74;0;29;4;False
2023-01-08;0;74;0;33;6;False
2023-01-09;0;57;0;32;4;False
2023-01-10;0;67;0;34;6;False
2023-01-11;0;58;0;29;7;False
2023-01-12;0;61;0;33;6;False
2023-01-13;0;64;0;38;4;False
2023-01-14;0;73;0;26;4;False
2023-01-15;0;74;0;36;5;False
2023-01-16;0;59;0;36;5;False
2023-01-17;0;56;0;30;4;False
2023-01-18;0;55;0;33;6;False
2023-01-19;0;56;0;30;5;False
2023-01-20;0;63;1;31;4;False
2023-01-21;0;77;0;31;5;False
2023-01-22;0;73;0;34;5;False
2023-01-23;0;53;0;38;5;False
2023-01-24;0;58;0;39;4;False
2023-01-25;0;52;0;37;6;False
2023-01-26;0;51;0;39;5;False
2023-01-27;0;60;0;34;3;False
2023-01-28;0;66;0;35;5;False
2023-01-29;0;69;0;44;4;False
2023-01-30;0;57;0;41;7;False
2023-01-31;0;58;0;36;6;False
