date;Crystal Palace;Alexander Lukashenko;joe lycett;brit awards;air travel;isPartial
2023-01-01;8;0;1;0;1;False
2023-01-02;7;0;1;0;2;False
2023-01-03;7;0;0;0;1;False
2023-01-04;39;0;0;0;2;False
2023-01-05;13;0;0;1;1;False
2023-01-06;8;0;0;1;1;False
2023-01-07;27;0;0;1;1;False
2023-01-08;7;0;0;1;1;False
2023-01-09;6;0;0;1;1;False
2023-01-10;5;0;0;1;1;False
2023-01-11;5;0;1;0;2;False
2023-01-12;6;0;0;5;1;False
2023-01-13;7;0;1;6;1;False
2023-01-14;10;0;0;3;1;False
2023-01-15;59;0;1;1;1;False
2023-01-16;9;0;0;1;1;False
2023-01-17;9;0;1;2;1;False
2023-01-18;100;0;1;1;1;False
2023-01-19;26;0;0;1;1;False
2023-01-20;9;0;1;1;1;False
2023-01-21;47;0;1;1;1;False
2023-01-22;12;0;0;1;1;False
2023-01-23;7;0;1;1;1;False
2023-01-24;7;0;1;2;1;False
2023-01-25;7;0;0;1;1;False
2023-01-26;6;0;0;1;1;False
2023-01-27;6;0;1;2;1;False
2023-01-28;8;0;0;1;1;False
2023-01-29;7;0;0;1;1;False
2023-01-30;8;0;0;2;2;False
2023-01-31;12;0;0;2;1;False
