date;Tom Verlaine;BP;Golden Globes 2023;Wada;air travel;isPartial
2023-01-01;0;22;1;0;4;False
2023-01-02;0;18;0;1;4;False
2023-01-03;0;30;2;0;3;False
2023-01-04;0;32;0;0;4;False
2023-01-05;0;29;1;0;3;False
2023-01-06;0;28;2;0;3;False
2023-01-07;0;16;2;0;2;False
2023-01-08;0;16;2;0;4;False
2023-01-09;0;29;2;0;2;False
2023-01-10;0;30;9;0;4;False
2023-01-11;0;28;100;0;4;False
2023-01-12;0;34;26;0;3;False
2023-01-13;0;29;32;0;3;False
2023-01-14;0;17;13;0;3;False
2023-01-15;0;15;6;0;3;False
2023-01-16;0;32;7;0;3;False
2023-01-17;0;31;4;1;3;False
2023-01-18;0;31;2;0;4;False
2023-01-19;0;31;3;0;3;False
2023-01-20;0;29;1;0;3;False
2023-01-21;0;17;1;0;3;False
2023-01-22;0;18;1;0;3;False
2023-01-23;0;31;1;0;3;False
2023-01-24;0;30;1;0;3;False
2023-01-25;0;31;1;1;4;False
2023-01-26;0;29;1;1;3;False
2023-01-27;0;32;1;0;2;False
2023-01-28;11;18;0;0;3;False
2023-01-29;32;16;1;0;3;False
2023-01-30;5;34;0;0;5;False
2023-01-31;3;30;0;1;4;False
