date;Nottingham Forest;Marathon running;cruise ships;Adelaide;air travel;isPartial
2023-01-01;78;2;3;8;3;False
2023-01-02;22;2;2;9;3;False
2023-01-03;18;1;3;9;2;False
2023-01-04;51;1;2;7;3;False
2023-01-05;25;1;2;8;3;False
2023-01-06;19;1;2;9;3;False
2023-01-07;38;2;3;10;2;False
2023-01-08;17;2;4;10;3;False
2023-01-09;16;1;2;7;2;False
2023-01-10;19;1;2;8;3;False
2023-01-11;66;2;3;7;3;False
2023-01-12;32;1;3;8;3;False
2023-01-13;24;1;3;8;2;False
2023-01-14;61;2;3;7;2;False
2023-01-15;25;2;3;5;2;False
2023-01-16;22;2;2;5;2;False
2023-01-17;23;1;2;5;2;False
2023-01-18;22;1;2;5;3;False
2023-01-19;25;1;2;4;3;False
2023-01-20;26;1;2;7;2;False
2023-01-21;49;1;3;5;2;False
2023-01-22;23;1;3;4;2;False
2023-01-23;22;1;2;5;3;False
2023-01-24;23;1;3;6;2;False
2023-01-25;100;1;3;4;3;False
2023-01-26;31;2;2;5;2;False
2023-01-27;22;1;2;5;2;False
2023-01-28;23;1;2;5;2;False
2023-01-29;24;1;3;6;2;False
2023-01-30;28;1;3;6;3;False
2023-01-31;49;1;2;5;3;False
