date;Ludwig van Beethoven;Economic recovery;Commonwealth of Nations;Michael Clarke;air travel;isPartial
2023-01-01;0;0;9;13;76;False
2023-01-02;17;8;0;16;90;False
2023-01-03;0;23;0;6;59;False
2023-01-04;0;0;21;14;89;False
2023-01-05;0;0;0;12;73;False
2023-01-06;0;7;0;9;73;False
2023-01-07;0;0;0;7;53;False
2023-01-08;0;5;8;80;84;False
2023-01-09;0;0;6;34;50;False
2023-01-10;0;0;6;13;79;False
2023-01-11;0;0;0;19;90;False
2023-01-12;0;13;0;10;75;False
2023-01-13;0;0;0;0;60;False
2023-01-14;0;9;9;17;56;False
2023-01-15;0;0;0;14;66;False
2023-01-16;0;7;0;20;68;False
2023-01-17;0;13;0;0;56;False
2023-01-18;0;0;0;39;80;False
2023-01-19;0;0;0;74;73;False
2023-01-20;0;9;0;59;59;False
2023-01-21;0;0;0;54;63;False
2023-01-22;0;0;0;78;70;False
2023-01-23;0;0;0;61;72;False
2023-01-24;7;0;0;38;55;False
2023-01-25;0;0;0;51;75;False
2023-01-26;9;10;0;25;68;False
2023-01-27;8;9;0;17;47;False
2023-01-28;0;0;0;27;66;False
2023-01-29;0;0;0;13;60;False
2023-01-30;5;10;0;11;100;False
2023-01-31;0;8;6;17;84;False
