date;terror;Public Image Ltd;US elections 2024;The Sun;air travel;isPartial
2023-01-01;3;0;0;100;2;False
2023-01-02;4;0;0;96;3;False
2023-01-03;3;0;0;87;2;False
2023-01-04;3;0;0;87;3;False
2023-01-05;4;0;0;93;2;False
2023-01-06;3;0;0;95;2;False
2023-01-07;4;1;0;84;2;False
2023-01-08;4;0;0;99;2;False
2023-01-09;3;2;0;95;1;False
2023-01-10;4;2;0;92;2;False
2023-01-11;4;0;0;89;3;False
2023-01-12;4;0;0;94;2;False
2023-01-13;3;0;0;94;2;False
2023-01-14;4;0;1;87;2;False
2023-01-15;4;0;0;98;2;False
2023-01-16;3;0;0;93;2;False
2023-01-17;3;0;0;89;2;False
2023-01-18;4;0;0;91;2;False
2023-01-19;3;0;0;85;2;False
2023-01-20;4;1;0;92;2;False
2023-01-21;3;0;0;89;2;False
2023-01-22;3;0;0;90;2;False
2023-01-23;2;0;0;98;2;False
2023-01-24;3;0;0;87;2;False
2023-01-25;3;0;0;86;2;False
2023-01-26;3;0;0;83;2;False
2023-01-27;3;0;0;84;1;False
2023-01-28;3;0;0;78;2;False
2023-01-29;4;0;0;84;2;False
2023-01-30;3;0;0;87;3;False
2023-01-31;3;0;0;90;2;False
