date;Ray Winstone;David Lynch;Surfing holidays;Childbirth;air travel;isPartial
2023-01-01;18;27;7;42;76;False
2023-01-02;24;33;8;57;90;False
2023-01-03;15;10;0;30;59;False
2023-01-04;9;35;0;39;89;False
2023-01-05;23;23;6;28;73;False
2023-01-06;11;30;8;39;73;False
2023-01-07;31;5;0;36;53;False
2023-01-08;26;45;0;31;84;False
2023-01-09;0;44;0;34;50;False
2023-01-10;21;17;0;45;79;False
2023-01-11;13;12;8;29;90;False
2023-01-12;14;24;0;30;75;False
2023-01-13;19;12;0;24;60;False
2023-01-14;27;16;0;40;56;False
2023-01-15;14;22;9;37;66;False
2023-01-16;13;25;0;48;68;False
2023-01-17;27;13;7;43;56;False
2023-01-18;46;26;0;42;80;False
2023-01-19;26;31;5;41;73;False
2023-01-20;31;40;0;29;59;False
2023-01-21;88;42;15;40;63;False
2023-01-22;31;35;0;29;70;False
2023-01-23;10;36;0;34;72;False
2023-01-24;12;26;24;36;55;False
2023-01-25;24;17;0;22;75;False
2023-01-26;12;22;0;46;68;False
2023-01-27;21;49;0;31;47;False
2023-01-28;45;28;0;23;66;False
2023-01-29;22;29;9;34;60;False
2023-01-30;10;15;0;29;100;False
2023-01-31;12;21;0;26;84;False
