date;Arkansas;Fungi;Margaret Thatcher;Sugar;air travel;isPartial
2023-01-01;3;2;2;88;4;False
2023-01-02;4;2;3;87;4;False
2023-01-03;2;2;3;82;3;False
2023-01-04;1;2;4;84;4;False
2023-01-05;1;2;2;97;3;False
2023-01-06;2;4;2;93;3;False
2023-01-07;2;2;3;96;2;False
2023-01-08;2;3;4;100;4;False
2023-01-09;1;8;3;81;2;False
2023-01-10;2;3;2;92;4;False
2023-01-11;1;2;2;88;4;False
2023-01-12;2;2;3;98;3;False
2023-01-13;2;2;2;87;3;False
2023-01-14;1;3;2;93;3;False
2023-01-15;1;3;3;96;3;False
2023-01-16;1;4;2;85;3;False
2023-01-17;1;3;2;80;3;False
2023-01-18;1;3;1;87;4;False
2023-01-19;2;3;4;94;3;False
2023-01-20;2;2;2;88;3;False
2023-01-21;2;4;3;100;3;False
2023-01-22;2;3;1;98;3;False
2023-01-23;2;4;3;88;3;False
2023-01-24;1;4;2;91;3;False
2023-01-25;2;5;3;85;4;False
2023-01-26;2;4;3;87;3;False
2023-01-27;1;3;2;90;2;False
2023-01-28;1;4;1;94;3;False
2023-01-29;2;3;3;97;3;False
2023-01-30;1;3;2;90;5;False
2023-01-31;1;3;2;86;4;False
