date;Spotify;Mercury;Miley Cyrus;vladimir putin;air travel;isPartial
2023-01-01;75;36;21;2;3;False
2023-01-02;72;25;21;3;4;False
2023-01-03;82;29;17;3;3;False
2023-01-04;82;22;12;1;4;False
2023-01-05;81;25;11;2;3;False
2023-01-06;81;26;9;2;3;False
2023-01-07;75;80;11;2;2;False
2023-01-08;78;37;8;1;4;False
2023-01-09;80;28;6;2;2;False
2023-01-10;81;27;6;2;3;False
2023-01-11;81;25;6;1;4;False
2023-01-12;83;27;6;1;3;False
2023-01-13;82;33;24;2;3;False
2023-01-14;100;36;36;3;2;False
2023-01-15;73;33;45;1;3;False
2023-01-16;78;24;42;1;3;False
2023-01-17;74;29;59;2;2;False
2023-01-18;79;29;58;2;3;False
2023-01-19;77;25;75;7;3;False
2023-01-20;85;29;83;11;3;False
2023-01-21;85;24;74;6;3;False
2023-01-22;76;23;66;2;3;False
2023-01-23;86;24;49;3;3;False
2023-01-24;83;27;53;3;2;False
2023-01-25;82;26;48;2;3;False
2023-01-26;83;25;41;3;3;False
2023-01-27;81;27;44;2;2;False
2023-01-28;76;23;45;3;3;False
2023-01-29;76;24;40;5;3;False
2023-01-30;83;23;28;5;4;False
2023-01-31;81;29;28;3;4;False
