date;Monterey Park shooting;zara aleena;Alia Shawkat;Victoria Azarenka;air travel;isPartial
2023-01-01;0;0;0;0;33;False
2023-01-02;0;3;0;8;40;False
2023-01-03;3;7;7;2;26;False
2023-01-04;0;0;7;0;39;False
2023-01-05;0;7;0;2;32;False
2023-01-06;3;0;6;8;32;False
2023-01-07;3;3;3;0;23;False
2023-01-08;5;0;0;4;37;False
2023-01-09;0;0;0;0;22;False
2023-01-10;2;0;4;0;34;False
2023-01-11;0;0;6;0;39;False
2023-01-12;0;0;6;0;33;False
2023-01-13;0;3;3;0;26;False
2023-01-14;0;0;4;0;24;False
2023-01-15;0;0;5;0;29;False
2023-01-16;0;0;3;7;30;False
2023-01-17;0;0;10;2;24;False
2023-01-18;0;0;0;2;35;False
2023-01-19;0;0;11;0;32;False
2023-01-20;0;0;0;3;26;False
2023-01-21;0;0;0;7;28;False
2023-01-22;40;0;6;35;31;False
2023-01-23;20;3;11;3;31;False
2023-01-24;5;100;5;50;24;False
2023-01-25;8;20;5;12;33;False
2023-01-26;0;8;3;35;30;False
2023-01-27;0;0;2;9;21;False
2023-01-28;0;2;3;0;29;False
2023-01-29;3;2;5;0;26;False
2023-01-30;0;0;0;0;44;False
2023-01-31;0;5;2;0;37;False
