date;Tennessee;lithuania;Audiobooks;Lamb;air travel;isPartial
2023-01-01;3;4;4;100;3;False
2023-01-02;4;3;3;58;4;False
2023-01-03;4;4;3;44;2;False
2023-01-04;4;4;4;40;4;False
2023-01-05;4;4;3;41;3;False
2023-01-06;5;5;3;42;3;False
2023-01-07;4;3;3;59;2;False
2023-01-08;5;4;4;77;4;False
2023-01-09;4;4;4;41;2;False
2023-01-10;3;3;4;37;3;False
2023-01-11;3;5;4;41;4;False
2023-01-12;4;4;4;39;3;False
2023-01-13;4;13;3;43;3;False
2023-01-14;6;7;4;57;2;False
2023-01-15;7;4;4;70;3;False
2023-01-16;5;5;3;44;3;False
2023-01-17;6;6;3;39;2;False
2023-01-18;6;5;4;38;3;False
2023-01-19;5;4;3;39;3;False
2023-01-20;4;9;2;42;3;False
2023-01-21;5;5;4;62;3;False
2023-01-22;5;5;3;72;3;False
2023-01-23;4;6;3;43;3;False
2023-01-24;4;4;3;37;2;False
2023-01-25;4;4;2;39;3;False
2023-01-26;4;4;2;38;3;False
2023-01-27;5;5;3;38;2;False
2023-01-28;7;4;3;55;3;False
2023-01-29;5;4;3;72;3;False
2023-01-30;3;6;4;39;4;False
2023-01-31;3;5;2;38;4;False
