date;Danny Trejo;Physics;NHL;GCSEs;air travel;isPartial
2023-01-01;0;45;22;7;7;False
2023-01-02;1;54;25;7;9;False
2023-01-03;1;68;17;9;6;False
2023-01-04;0;78;15;11;9;False
2023-01-05;1;81;12;11;7;False
2023-01-06;0;60;15;9;7;False
2023-01-07;2;54;18;5;5;False
2023-01-08;2;77;20;10;8;False
2023-01-09;2;97;18;8;5;False
2023-01-10;1;94;14;9;8;False
2023-01-11;0;88;12;9;9;False
2023-01-12;1;97;11;8;7;False
2023-01-13;2;70;12;6;6;False
2023-01-14;1;57;16;7;5;False
2023-01-15;2;71;17;7;6;False
2023-01-16;1;100;14;9;7;False
2023-01-17;2;89;13;9;5;False
2023-01-18;3;88;15;10;8;False
2023-01-19;1;93;14;9;7;False
2023-01-20;0;66;16;8;6;False
2023-01-21;1;51;18;8;6;False
2023-01-22;1;72;19;9;7;False
2023-01-23;1;96;12;11;7;False
2023-01-24;1;96;12;10;5;False
2023-01-25;0;91;15;8;7;False
2023-01-26;2;92;13;9;7;False
2023-01-27;0;62;11;9;5;False
2023-01-28;0;53;12;6;6;False
2023-01-29;1;68;19;7;6;False
2023-01-30;0;94;12;8;10;False
2023-01-31;2;87;11;8;8;False
