date;Tony Blair;Cardiff City;kate bush;Dom Phillips and Bruno Pereira;air travel;isPartial
2023-01-01;3;30;6;0;4;False
2023-01-02;2;11;3;0;4;False
2023-01-03;2;7;3;0;3;False
2023-01-04;3;11;5;0;4;False
2023-01-05;3;11;2;0;3;False
2023-01-06;3;11;3;0;4;False
2023-01-07;5;15;4;0;3;False
2023-01-08;4;100;4;0;4;False
2023-01-09;2;14;2;0;2;False
2023-01-10;2;11;3;0;4;False
2023-01-11;2;11;2;0;4;False
2023-01-12;3;11;5;0;4;False
2023-01-13;2;10;8;1;3;False
2023-01-14;2;30;4;0;3;False
2023-01-15;3;14;3;0;3;False
2023-01-16;2;13;3;1;3;False
2023-01-17;3;15;2;0;3;False
2023-01-18;3;84;4;0;4;False
2023-01-19;4;22;4;0;3;False
2023-01-20;4;12;5;0;3;False
2023-01-21;2;31;5;0;3;False
2023-01-22;3;12;5;0;3;False
2023-01-23;2;12;2;0;3;False
2023-01-24;2;12;2;0;3;False
2023-01-25;4;11;4;0;4;False
2023-01-26;3;14;3;0;3;False
2023-01-27;3;16;1;0;2;False
2023-01-28;1;17;4;0;3;False
2023-01-29;3;11;3;0;3;False
2023-01-30;2;14;3;0;5;False
2023-01-31;3;35;2;0;4;False
