date;Guatemala;Alice Springs;Middle East and north Africa;food;air travel;isPartial
2023-01-01;0;0;0;91;1;False
2023-01-02;1;0;0;96;1;False
2023-01-03;1;0;0;84;0;False
2023-01-04;0;0;0;94;1;False
2023-01-05;0;0;0;91;1;False
2023-01-06;0;0;0;87;1;False
2023-01-07;0;0;0;91;0;False
2023-01-08;1;0;0;97;1;False
2023-01-09;0;0;0;82;0;False
2023-01-10;0;0;0;87;1;False
2023-01-11;0;0;0;82;1;False
2023-01-12;0;0;0;87;1;False
2023-01-13;0;0;0;86;1;False
2023-01-14;0;0;0;85;0;False
2023-01-15;0;0;0;93;1;False
2023-01-16;0;0;0;83;1;False
2023-01-17;1;0;0;81;0;False
2023-01-18;1;0;0;80;1;False
2023-01-19;0;0;0;86;1;False
2023-01-20;0;0;0;91;1;False
2023-01-21;0;0;0;100;1;False
2023-01-22;1;0;0;96;1;False
2023-01-23;1;0;0;88;1;False
2023-01-24;1;0;0;87;0;False
2023-01-25;0;0;0;86;1;False
2023-01-26;0;0;0;82;1;False
2023-01-27;0;0;0;87;0;False
2023-01-28;0;0;0;92;1;False
2023-01-29;0;0;0;96;1;False
2023-01-30;0;0;0;88;1;False
2023-01-31;0;0;0;86;1;False
