date;Microsoft Surface;Motoring;Yoga holidays;BBC World Service;air travel;isPartial
2023-01-01;50;62;7;17;52;False
2023-01-02;42;76;6;12;62;False
2023-01-03;36;75;4;16;40;False
2023-01-04;56;69;6;7;60;False
2023-01-05;54;71;6;14;50;False
2023-01-06;61;70;0;8;50;False
2023-01-07;39;57;5;0;36;False
2023-01-08;44;77;13;23;57;False
2023-01-09;41;89;6;14;34;False
2023-01-10;73;89;4;6;54;False
2023-01-11;44;85;0;6;61;False
2023-01-12;54;73;4;9;51;False
2023-01-13;51;89;4;13;41;False
2023-01-14;47;87;0;9;38;False
2023-01-15;39;87;3;5;45;False
2023-01-16;62;86;0;11;47;False
2023-01-17;60;83;10;3;38;False
2023-01-18;52;95;0;12;54;False
2023-01-19;44;84;8;10;49;False
2023-01-20;52;80;20;12;40;False
2023-01-21;41;91;0;14;43;False
2023-01-22;51;92;0;12;48;False
2023-01-23;51;88;5;14;49;False
2023-01-24;55;91;8;21;37;False
2023-01-25;48;86;6;13;51;False
2023-01-26;67;73;0;13;46;False
2023-01-27;53;83;0;0;32;False
2023-01-28;50;93;5;14;45;False
2023-01-29;56;98;0;6;41;False
2023-01-30;47;97;9;7;68;False
2023-01-31;67;100;0;6;57;False
