date;Jamie Dimon;Eddie Redmayne;Beirut explosion;Laws of football;air travel;isPartial
2023-01-01;18;51;13;0;69;False
2023-01-02;0;43;0;0;82;False
2023-01-03;0;19;0;0;53;False
2023-01-04;0;13;0;0;80;False
2023-01-05;0;29;0;0;66;False
2023-01-06;0;34;9;0;66;False
2023-01-07;0;26;9;0;48;False
2023-01-08;6;34;0;6;77;False
2023-01-09;0;30;0;0;45;False
2023-01-10;11;13;0;0;71;False
2023-01-11;0;24;0;0;81;False
2023-01-12;0;36;0;11;68;False
2023-01-13;9;27;4;0;54;False
2023-01-14;13;33;0;6;51;False
2023-01-15;0;14;0;0;60;False
2023-01-16;0;14;5;0;62;False
2023-01-17;0;15;0;0;50;False
2023-01-18;4;13;13;4;73;False
2023-01-19;15;14;9;0;66;False
2023-01-20;13;16;0;21;54;False
2023-01-21;19;31;0;15;57;False
2023-01-22;0;22;0;8;63;False
2023-01-23;0;23;0;0;65;False
2023-01-24;0;21;0;0;50;False
2023-01-25;10;36;9;0;68;False
2023-01-26;0;31;0;6;61;False
2023-01-27;0;100;11;12;43;False
2023-01-28;0;50;8;0;60;False
2023-01-29;5;36;0;0;55;False
2023-01-30;7;15;12;0;91;False
2023-01-31;14;14;10;0;76;False
