date;Women's cricket;katy perry;Panto season;Blur;air travel;isPartial
2023-01-01;2;36;0;44;18;False
2023-01-02;0;22;0;34;21;False
2023-01-03;3;12;0;41;14;False
2023-01-04;0;16;0;38;21;False
2023-01-05;1;19;0;47;17;False
2023-01-06;2;18;0;43;17;False
2023-01-07;0;27;3;51;12;False
2023-01-08;0;24;0;44;20;False
2023-01-09;1;16;0;39;12;False
2023-01-10;4;23;0;45;18;False
2023-01-11;3;14;0;36;21;False
2023-01-12;0;26;0;44;17;False
2023-01-13;0;25;0;39;14;False
2023-01-14;2;23;3;40;13;False
2023-01-15;4;15;4;49;15;False
2023-01-16;3;25;0;37;16;False
2023-01-17;3;17;0;39;13;False
2023-01-18;3;16;2;38;19;False
2023-01-19;3;20;0;44;17;False
2023-01-20;2;29;0;40;14;False
2023-01-21;6;24;0;100;15;False
2023-01-22;3;26;0;49;16;False
2023-01-23;1;22;0;42;17;False
2023-01-24;3;20;2;33;13;False
2023-01-25;1;16;0;39;18;False
2023-01-26;0;25;0;46;16;False
2023-01-27;4;25;0;39;11;False
2023-01-28;4;33;0;38;15;False
2023-01-29;9;30;0;46;14;False
2023-01-30;2;27;0;40;23;False
2023-01-31;0;30;0;35;20;False
