date;Andy Burnham;Small business;Yaa Gyasi;Michael B Jordan;air travel;isPartial
2023-01-01;0;56;0;96;28;False
2023-01-02;0;64;2;40;33;False
2023-01-03;3;81;4;27;22;False
2023-01-04;10;81;0;23;33;False
2023-01-05;2;93;0;15;27;False
2023-01-06;3;72;0;10;27;False
2023-01-07;0;63;0;17;20;False
2023-01-08;0;63;0;22;31;False
2023-01-09;2;81;0;18;18;False
2023-01-10;3;76;0;13;29;False
2023-01-11;4;99;0;16;33;False
2023-01-12;4;98;0;11;28;False
2023-01-13;8;66;0;28;22;False
2023-01-14;2;66;0;28;21;False
2023-01-15;5;57;0;21;24;False
2023-01-16;10;100;0;30;25;False
2023-01-17;0;83;0;27;21;False
2023-01-18;10;87;0;18;30;False
2023-01-19;3;72;0;21;27;False
2023-01-20;0;75;0;19;22;False
2023-01-21;4;69;3;17;23;False
2023-01-22;0;56;0;19;26;False
2023-01-23;4;95;0;10;27;False
2023-01-24;0;87;0;14;20;False
2023-01-25;13;84;0;15;28;False
2023-01-26;7;86;0;14;25;False
2023-01-27;3;60;0;26;17;False
2023-01-28;5;63;0;18;24;False
2023-01-29;4;68;0;37;22;False
2023-01-30;6;81;4;20;37;False
2023-01-31;5;77;0;26;31;False
