date;Milan fashion week;Electric vehicles;US universities;Snakes;air travel;isPartial
2023-01-01;0;10;0;83;27;False
2023-01-02;0;6;7;75;32;False
2023-01-03;0;10;6;63;21;False
2023-01-04;2;10;0;74;31;False
2023-01-05;0;7;6;54;26;False
2023-01-06;2;15;6;60;26;False
2023-01-07;2;4;0;66;19;False
2023-01-08;0;12;0;76;30;False
2023-01-09;5;15;0;69;17;False
2023-01-10;2;9;0;69;28;False
2023-01-11;4;14;5;63;31;False
2023-01-12;3;14;0;66;26;False
2023-01-13;3;9;2;65;21;False
2023-01-14;3;4;0;79;20;False
2023-01-15;5;7;8;70;23;False
2023-01-16;8;12;5;64;24;False
2023-01-17;4;17;2;54;20;False
2023-01-18;4;13;0;58;28;False
2023-01-19;0;11;5;59;26;False
2023-01-20;3;6;10;68;21;False
2023-01-21;2;11;4;100;22;False
2023-01-22;0;7;0;88;25;False
2023-01-23;4;12;3;64;25;False
2023-01-24;0;16;2;80;19;False
2023-01-25;4;7;0;66;26;False
2023-01-26;4;9;0;60;24;False
2023-01-27;7;11;0;66;16;False
2023-01-28;2;12;0;61;23;False
2023-01-29;7;8;0;66;21;False
2023-01-30;3;10;2;68;35;False
2023-01-31;6;11;3;74;29;False
