date;National Grid;Islam;Owen Farrell;Apprenticeships;air travel;isPartial
2023-01-01;6;72;2;23;7;False
2023-01-02;8;77;2;29;8;False
2023-01-03;16;65;1;40;5;False
2023-01-04;20;64;1;51;8;False
2023-01-05;16;62;0;44;7;False
2023-01-06;16;67;4;39;7;False
2023-01-07;6;66;7;24;5;False
2023-01-08;10;68;5;34;8;False
2023-01-09;16;68;10;47;4;False
2023-01-10;22;64;18;53;7;False
2023-01-11;22;63;30;48;8;False
2023-01-12;24;70;7;52;7;False
2023-01-13;19;61;3;41;5;False
2023-01-14;10;61;2;25;5;False
2023-01-15;9;77;2;33;6;False
2023-01-16;21;64;4;52;6;False
2023-01-17;18;62;0;43;5;False
2023-01-18;18;68;3;50;7;False
2023-01-19;19;65;1;45;6;False
2023-01-20;19;68;1;37;5;False
2023-01-21;8;67;0;26;6;False
2023-01-22;14;78;1;28;6;False
2023-01-23;100;77;2;47;6;False
2023-01-24;46;73;0;55;5;False
2023-01-25;23;61;1;49;7;False
2023-01-26;20;60;1;43;6;False
2023-01-27;18;68;1;41;4;False
2023-01-28;8;63;0;28;6;False
2023-01-29;9;70;1;26;5;False
2023-01-30;25;69;2;48;9;False
2023-01-31;22;67;2;49;7;False
