date;Buffalo Bills;Raye;Pride;Australian politics;air travel;isPartial
2023-01-01;3;7;100;0;11;False
2023-01-02;9;9;66;0;13;False
2023-01-03;65;10;61;2;8;False
2023-01-04;14;12;82;0;13;False
2023-01-05;9;12;55;1;10;False
2023-01-06;8;37;67;0;10;False
2023-01-07;5;27;58;0;8;False
2023-01-08;28;19;63;0;12;False
2023-01-09;5;14;53;0;7;False
2023-01-10;6;12;56;1;11;False
2023-01-11;2;11;56;0;13;False
2023-01-12;2;13;53;0;11;False
2023-01-13;3;61;64;0;9;False
2023-01-14;5;55;68;0;8;False
2023-01-15;40;34;61;0;9;False
2023-01-16;6;19;63;1;10;False
2023-01-17;2;18;60;0;8;False
2023-01-18;3;20;65;0;11;False
2023-01-19;7;17;64;1;10;False
2023-01-20;5;12;70;1;8;False
2023-01-21;9;19;70;0;9;False
2023-01-22;42;14;68;0;10;False
2023-01-23;18;18;66;0;10;False
2023-01-24;4;16;59;0;8;False
2023-01-25;1;13;61;0;11;False
2023-01-26;0;15;62;0;10;False
2023-01-27;1;18;63;1;7;False
2023-01-28;2;19;66;2;9;False
2023-01-29;2;16;62;0;9;False
2023-01-30;1;15;78;0;14;False
2023-01-31;0;16;63;2;12;False
