date;Budget travel;Office for Budget Responsibility;glasgow;Breeders;air travel;isPartial
2023-01-01;0;0;74;2;1;False
2023-01-02;0;0;89;1;1;False
2023-01-03;0;0;91;1;1;False
2023-01-04;0;0;91;1;1;False
2023-01-05;0;0;88;1;1;False
2023-01-06;0;0;85;1;1;False
2023-01-07;0;0;81;1;1;False
2023-01-08;0;0;100;1;1;False
2023-01-09;0;0;90;1;1;False
2023-01-10;0;0;93;1;1;False
2023-01-11;0;0;91;1;1;False
2023-01-12;0;0;93;1;1;False
2023-01-13;0;0;96;1;1;False
2023-01-14;0;0;88;1;1;False
2023-01-15;0;0;87;1;1;False
2023-01-16;0;0;91;1;1;False
2023-01-17;0;0;89;1;1;False
2023-01-18;0;0;87;1;1;False
2023-01-19;0;0;86;1;1;False
2023-01-20;0;0;99;1;1;False
2023-01-21;0;0;92;1;1;False
2023-01-22;0;0;89;1;1;False
2023-01-23;0;0;92;1;1;False
2023-01-24;0;0;98;1;1;False
2023-01-25;0;0;90;1;1;False
2023-01-26;0;0;89;1;1;False
2023-01-27;0;0;86;1;1;False
2023-01-28;0;0;88;1;1;False
2023-01-29;0;0;90;1;1;False
2023-01-30;0;0;95;1;1;False
2023-01-31;0;0;94;1;1;False
