date;Pixar;A-League Men;Past Lives;Spain holidays;air travel;isPartial
2023-01-01;36;0;0;65;28;False
2023-01-02;26;0;3;74;33;False
2023-01-03;23;0;0;71;21;False
2023-01-04;16;0;2;59;32;False
2023-01-05;12;0;0;71;26;False
2023-01-06;20;0;2;64;27;False
2023-01-07;23;0;0;65;19;False
2023-01-08;21;0;2;100;31;False
2023-01-09;25;0;0;67;18;False
2023-01-10;27;0;2;72;29;False
2023-01-11;15;0;2;65;32;False
2023-01-12;28;0;3;57;27;False
2023-01-13;19;0;2;44;22;False
2023-01-14;23;0;3;59;20;False
2023-01-15;29;0;3;85;24;False
2023-01-16;21;0;2;53;25;False
2023-01-17;21;0;0;53;20;False
2023-01-18;25;0;0;60;29;False
2023-01-19;23;0;0;46;26;False
2023-01-20;31;0;0;60;21;False
2023-01-21;35;0;7;70;23;False
2023-01-22;22;0;4;72;25;False
2023-01-23;17;0;3;62;26;False
2023-01-24;27;0;0;62;20;False
2023-01-25;32;0;0;49;27;False
2023-01-26;26;0;6;47;25;False
2023-01-27;28;0;0;42;17;False
2023-01-28;24;0;3;56;24;False
2023-01-29;22;0;3;66;22;False
2023-01-30;19;0;0;50;36;False
2023-01-31;28;0;3;47;30;False
