date;Winter;Windermere;John Galliano;Social media;air travel;isPartial
2023-01-01;96;6;0;9;2;False
2023-01-02;100;7;0;10;2;False
2023-01-03;69;4;0;12;1;False
2023-01-04;61;5;0;14;2;False
2023-01-05;55;5;0;14;2;False
2023-01-06;55;5;0;11;2;False
2023-01-07;57;5;0;9;1;False
2023-01-08;60;6;0;10;2;False
2023-01-09;58;5;0;14;1;False
2023-01-10;53;5;0;14;2;False
2023-01-11;49;5;0;13;2;False
2023-01-12;54;5;0;15;2;False
2023-01-13;48;5;0;12;1;False
2023-01-14;52;5;0;10;1;False
2023-01-15;57;5;0;9;2;False
2023-01-16;61;5;0;15;2;False
2023-01-17;62;4;0;15;1;False
2023-01-18;59;5;0;15;2;False
2023-01-19;57;4;0;13;2;False
2023-01-20;55;5;0;13;1;False
2023-01-21;61;6;0;8;1;False
2023-01-22;61;5;0;9;2;False
2023-01-23;54;5;0;14;2;False
2023-01-24;52;5;0;16;1;False
2023-01-25;49;5;0;12;2;False
2023-01-26;45;6;0;12;2;False
2023-01-27;47;6;0;11;1;False
2023-01-28;52;6;0;8;2;False
2023-01-29;52;6;0;10;1;False
2023-01-30;42;5;0;14;2;False
2023-01-31;43;5;0;13;2;False
