date;Dior;Caribbean;Food and drink;Russia;air travel;isPartial
2023-01-01;71;67;3;71;5;False
2023-01-02;79;64;4;75;6;False
2023-01-03;62;49;6;68;4;False
2023-01-04;65;50;7;66;6;False
2023-01-05;61;56;5;65;5;False
2023-01-06;58;56;2;69;5;False
2023-01-07;65;60;4;64;3;False
2023-01-08;69;62;4;69;5;False
2023-01-09;54;44;4;61;3;False
2023-01-10;52;47;5;66;5;False
2023-01-11;54;43;4;67;6;False
2023-01-12;56;52;4;69;5;False
2023-01-13;56;49;3;63;4;False
2023-01-14;59;57;4;64;4;False
2023-01-15;69;62;3;69;4;False
2023-01-16;50;44;5;66;4;False
2023-01-17;49;48;3;67;4;False
2023-01-18;50;40;4;65;5;False
2023-01-19;50;40;5;77;5;False
2023-01-20;58;46;6;74;4;False
2023-01-21;67;55;4;69;4;False
2023-01-22;65;52;4;68;4;False
2023-01-23;56;43;5;73;5;False
2023-01-24;51;41;4;85;4;False
2023-01-25;51;44;6;100;5;False
2023-01-26;53;38;4;91;4;False
2023-01-27;52;45;4;88;3;False
2023-01-28;61;54;3;71;4;False
2023-01-29;68;58;5;85;4;False
2023-01-30;56;43;5;83;6;False
2023-01-31;54;45;4;81;5;False
