date;London Irish;Zara;Fashion industry;Essential poll;air travel;isPartial
2023-01-01;3;89;0;0;3;False
2023-01-02;3;92;0;0;3;False
2023-01-03;3;77;1;0;2;False
2023-01-04;6;79;1;0;3;False
2023-01-05;2;79;0;0;3;False
2023-01-06;2;76;1;0;3;False
2023-01-07;2;80;1;0;2;False
2023-01-08;7;86;0;0;3;False
2023-01-09;3;70;1;0;2;False
2023-01-10;2;67;1;0;3;False
2023-01-11;2;74;0;0;3;False
2023-01-12;2;81;1;0;3;False
2023-01-13;2;74;0;0;2;False
2023-01-14;3;88;0;0;2;False
2023-01-15;9;92;0;0;3;False
2023-01-16;3;76;1;0;3;False
2023-01-17;2;77;1;0;2;False
2023-01-18;1;85;1;0;3;False
2023-01-19;1;91;1;0;3;False
2023-01-20;2;86;0;0;2;False
2023-01-21;3;97;0;0;2;False
2023-01-22;4;100;0;0;3;False
2023-01-23;2;90;1;0;3;False
2023-01-24;3;93;1;0;2;False
2023-01-25;3;82;1;0;3;False
2023-01-26;3;79;0;0;3;False
2023-01-27;2;86;1;0;2;False
2023-01-28;4;90;0;0;3;False
2023-01-29;13;98;0;0;2;False
2023-01-30;4;79;1;0;4;False
2023-01-31;3;81;0;0;3;False
