date;tax;wiltshire;Emergency planning;Brian May;air travel;isPartial
2023-01-01;40;3;0;2;0;False
2023-01-02;50;3;0;1;1;False
2023-01-03;71;3;0;0;0;False
2023-01-04;68;3;0;0;1;False
2023-01-05;62;3;0;0;0;False
2023-01-06;56;3;0;0;0;False
2023-01-07;39;2;0;1;0;False
2023-01-08;43;3;0;0;0;False
2023-01-09;61;3;0;0;0;False
2023-01-10;65;3;0;0;0;False
2023-01-11;62;3;0;0;1;False
2023-01-12;66;3;0;0;0;False
2023-01-13;55;3;0;0;0;False
2023-01-14;41;2;0;1;0;False
2023-01-15;43;3;0;0;0;False
2023-01-16;68;3;0;0;0;False
2023-01-17;59;3;0;0;0;False
2023-01-18;68;3;0;0;0;False
2023-01-19;62;3;0;0;0;False
2023-01-20;60;3;0;0;0;False
2023-01-21;48;2;0;0;0;False
2023-01-22;47;2;0;0;0;False
2023-01-23;74;3;0;0;0;False
2023-01-24;76;3;0;0;0;False
2023-01-25;70;3;0;0;0;False
2023-01-26;73;3;0;0;0;False
2023-01-27;72;3;0;0;0;False
2023-01-28;49;2;0;0;0;False
2023-01-29;57;2;0;1;0;False
2023-01-30;94;3;0;0;1;False
2023-01-31;100;3;0;0;0;False
