date;Toni Morrison;Debt relief;War reporting;Passport Office;air travel;isPartial
2023-01-01;8;3;4;20;22;False
2023-01-02;6;6;0;39;26;False
2023-01-03;0;4;2;61;17;False
2023-01-04;3;9;2;64;26;False
2023-01-05;0;7;0;69;21;False
2023-01-06;3;7;0;54;21;False
2023-01-07;2;2;0;36;15;False
2023-01-08;5;0;0;35;25;False
2023-01-09;2;2;0;69;14;False
2023-01-10;2;7;3;74;23;False
2023-01-11;4;5;0;73;26;False
2023-01-12;0;5;0;59;22;False
2023-01-13;0;6;0;68;17;False
2023-01-14;0;3;0;41;16;False
2023-01-15;19;3;4;36;19;False
2023-01-16;5;6;0;100;20;False
2023-01-17;2;12;0;61;16;False
2023-01-18;7;9;0;64;23;False
2023-01-19;0;12;3;70;21;False
2023-01-20;3;6;0;56;17;False
2023-01-21;6;6;3;52;18;False
2023-01-22;0;2;0;40;20;False
2023-01-23;3;9;0;78;21;False
2023-01-24;0;7;3;80;16;False
2023-01-25;3;6;0;55;22;False
2023-01-26;4;10;0;64;20;False
2023-01-27;3;5;0;53;14;False
2023-01-28;0;4;0;47;19;False
2023-01-29;2;4;0;40;18;False
2023-01-30;0;0;0;72;29;False
2023-01-31;2;8;1;74;24;False
