date;Bulgaria;Lewis Hamilton;piers morgan;Agatha Christie;air travel;isPartial
2023-01-01;70;25;47;30;16;False
2023-01-02;72;20;51;29;19;False
2023-01-03;75;29;44;16;12;False
2023-01-04;71;18;37;15;18;False
2023-01-05;69;21;77;15;15;False
2023-01-06;62;79;79;20;15;False
2023-01-07;73;58;44;19;11;False
2023-01-08;77;37;69;34;17;False
2023-01-09;65;27;100;14;10;False
2023-01-10;72;28;90;15;16;False
2023-01-11;58;31;72;14;19;False
2023-01-12;59;35;62;19;15;False
2023-01-13;60;21;53;17;12;False
2023-01-14;65;21;52;20;12;False
2023-01-15;73;33;62;41;14;False
2023-01-16;68;31;65;17;14;False
2023-01-17;53;31;53;14;12;False
2023-01-18;66;34;59;11;17;False
2023-01-19;54;26;49;17;15;False
2023-01-20;63;20;43;17;12;False
2023-01-21;60;22;53;24;13;False
2023-01-22;66;22;57;60;14;False
2023-01-23;51;32;39;17;15;False
2023-01-24;67;30;41;12;11;False
2023-01-25;60;25;30;15;16;False
2023-01-26;61;27;31;14;14;False
2023-01-27;55;35;38;12;10;False
2023-01-28;60;48;30;15;14;False
2023-01-29;67;39;44;39;12;False
2023-01-30;50;18;37;10;21;False
2023-01-31;71;24;31;10;17;False
