date;Princess Eugenie;somalia;massachusetts;Food festivals;air travel;isPartial
2023-01-01;7;25;23;0;26;False
2023-01-02;3;25;23;2;31;False
2023-01-03;4;23;20;0;20;False
2023-01-04;0;15;19;0;30;False
2023-01-05;2;31;22;2;25;False
2023-01-06;6;19;21;0;25;False
2023-01-07;9;32;17;2;18;False
2023-01-08;4;84;25;3;29;False
2023-01-09;4;21;28;0;17;False
2023-01-10;4;22;25;3;27;False
2023-01-11;5;14;23;7;30;False
2023-01-12;4;32;20;2;25;False
2023-01-13;6;18;8;0;20;False
2023-01-14;5;19;31;0;19;False
2023-01-15;6;19;32;0;22;False
2023-01-16;3;29;27;3;23;False
2023-01-17;0;23;22;2;19;False
2023-01-18;0;22;18;5;27;False
2023-01-19;2;22;25;3;25;False
2023-01-20;3;21;17;4;20;False
2023-01-21;3;20;16;3;21;False
2023-01-22;3;24;19;2;24;False
2023-01-23;3;29;26;5;24;False
2023-01-24;100;19;24;4;19;False
2023-01-25;29;19;27;0;26;False
2023-01-26;15;23;24;7;23;False
2023-01-27;8;29;13;4;16;False
2023-01-28;6;24;19;4;22;False
2023-01-29;0;23;16;0;20;False
2023-01-30;2;28;25;2;34;False
2023-01-31;6;21;17;4;28;False
