date;republican party;Rod Stewart;Stephen Frears;Republicanism;air travel;isPartial
2023-01-01;0;4;0;0;2;False
2023-01-02;0;3;0;0;3;False
2023-01-03;0;3;0;0;2;False
2023-01-04;1;2;0;0;3;False
2023-01-05;0;2;0;0;2;False
2023-01-06;1;4;0;0;2;False
2023-01-07;1;100;0;0;2;False
2023-01-08;0;29;0;0;2;False
2023-01-09;0;6;0;0;1;False
2023-01-10;0;8;0;0;2;False
2023-01-11;0;4;0;0;3;False
2023-01-12;0;8;0;0;2;False
2023-01-13;0;5;0;0;2;False
2023-01-14;0;5;0;0;2;False
2023-01-15;0;4;0;0;2;False
2023-01-16;0;3;0;0;2;False
2023-01-17;0;3;0;0;2;False
2023-01-18;1;3;0;0;2;False
2023-01-19;0;3;0;0;2;False
2023-01-20;0;3;0;0;2;False
2023-01-21;0;4;0;0;2;False
2023-01-22;0;3;0;0;2;False
2023-01-23;0;2;0;0;2;False
2023-01-24;0;3;0;0;2;False
2023-01-25;0;2;0;0;2;False
2023-01-26;0;11;0;0;2;False
2023-01-27;0;19;0;0;1;False
2023-01-28;0;14;0;0;2;False
2023-01-29;0;5;0;0;2;False
2023-01-30;0;3;0;0;3;False
2023-01-31;0;2;0;0;2;False
