date;Men's fashion;Pensions;Kevin Costner;australia;air travel;isPartial
2023-01-01;1;4;4;92;3;False
2023-01-02;1;9;3;100;3;False
2023-01-03;1;16;3;97;2;False
2023-01-04;2;16;3;91;3;False
2023-01-05;1;17;2;88;3;False
2023-01-06;1;14;4;92;3;False
2023-01-07;2;8;4;84;2;False
2023-01-08;2;7;4;96;3;False
2023-01-09;1;15;2;81;2;False
2023-01-10;1;18;4;81;3;False
2023-01-11;1;15;6;76;3;False
2023-01-12;2;17;3;81;3;False
2023-01-13;1;14;3;73;2;False
2023-01-14;2;7;4;74;2;False
2023-01-15;2;7;4;79;2;False
2023-01-16;1;15;3;83;2;False
2023-01-17;2;14;2;77;2;False
2023-01-18;1;17;3;76;3;False
2023-01-19;1;16;3;79;3;False
2023-01-20;1;14;3;89;2;False
2023-01-21;1;8;4;87;2;False
2023-01-22;1;8;4;89;2;False
2023-01-23;2;18;3;92;3;False
2023-01-24;1;18;3;85;2;False
2023-01-25;2;17;2;84;3;False
2023-01-26;2;16;2;89;2;False
2023-01-27;2;13;3;74;2;False
2023-01-28;1;9;4;76;2;False
2023-01-29;2;10;4;88;2;False
2023-01-30;1;19;2;80;3;False
2023-01-31;2;19;2;84;3;False
