date;Baby names;Illinois;Carol Vorderman;Detroit;air travel;isPartial
2023-01-01;71;13;60;47;19;False
2023-01-02;57;11;45;39;22;False
2023-01-03;45;11;22;32;14;False
2023-01-04;50;15;31;33;22;False
2023-01-05;51;12;44;32;18;False
2023-01-06;54;18;42;36;18;False
2023-01-07;55;22;55;34;13;False
2023-01-08;64;14;27;48;21;False
2023-01-09;43;11;30;49;12;False
2023-01-10;42;14;20;40;20;False
2023-01-11;44;17;29;40;22;False
2023-01-12;48;14;41;28;18;False
2023-01-13;48;11;54;34;15;False
2023-01-14;62;12;34;32;14;False
2023-01-15;63;14;42;39;16;False
2023-01-16;39;8;39;26;17;False
2023-01-17;42;15;29;23;14;False
2023-01-18;44;17;30;30;20;False
2023-01-19;46;12;43;38;18;False
2023-01-20;45;17;66;32;15;False
2023-01-21;64;7;44;32;16;False
2023-01-22;60;12;35;28;17;False
2023-01-23;54;12;100;29;18;False
2023-01-24;48;17;38;35;14;False
2023-01-25;40;11;32;28;19;False
2023-01-26;46;13;41;24;17;False
2023-01-27;43;17;83;35;12;False
2023-01-28;57;9;64;30;16;False
2023-01-29;64;16;44;34;15;False
2023-01-30;48;15;40;32;25;False
2023-01-31;65;14;31;25;21;False
