date;Press freedom;lizzo;New Zealand;Vatican City State holidays;air travel;isPartial
2023-01-01;1;4;46;0;4;False
2023-01-02;0;4;66;0;4;False
2023-01-03;0;3;70;0;3;False
2023-01-04;0;3;71;0;4;False
2023-01-05;0;3;61;0;4;False
2023-01-06;0;4;71;0;4;False
2023-01-07;0;5;36;0;3;False
2023-01-08;0;4;44;0;4;False
2023-01-09;0;4;77;0;2;False
2023-01-10;1;5;38;0;4;False
2023-01-11;0;2;75;0;4;False
2023-01-12;0;4;39;0;4;False
2023-01-13;0;4;79;0;3;False
2023-01-14;0;4;36;0;3;False
2023-01-15;0;4;41;0;3;False
2023-01-16;0;3;34;0;3;False
2023-01-17;0;3;35;0;3;False
2023-01-18;0;3;98;0;4;False
2023-01-19;0;3;69;0;4;False
2023-01-20;0;3;43;0;3;False
2023-01-21;0;3;95;0;3;False
2023-01-22;0;3;49;0;3;False
2023-01-23;0;3;40;0;4;False
2023-01-24;1;5;100;0;3;False
2023-01-25;0;4;39;0;4;False
2023-01-26;1;4;36;0;3;False
2023-01-27;0;3;82;0;2;False
2023-01-28;0;4;54;0;3;False
2023-01-29;0;4;89;0;3;False
2023-01-30;0;3;47;0;5;False
2023-01-31;0;3;42;0;4;False
