date;Rwanda;Jordan;Lionel Messi;Sovereign wealth funds;air travel;isPartial
2023-01-01;2;100;4;0;3;False
2023-01-02;3;96;4;0;3;False
2023-01-03;3;92;4;0;2;False
2023-01-04;3;79;4;0;3;False
2023-01-05;3;84;2;0;3;False
2023-01-06;2;84;4;0;3;False
2023-01-07;2;88;3;0;2;False
2023-01-08;2;94;4;0;3;False
2023-01-09;2;74;3;0;2;False
2023-01-10;2;73;3;0;3;False
2023-01-11;2;72;5;0;3;False
2023-01-12;2;74;4;0;3;False
2023-01-13;2;72;3;0;2;False
2023-01-14;2;91;3;0;2;False
2023-01-15;3;86;3;0;3;False
2023-01-16;4;71;2;0;3;False
2023-01-17;3;77;2;0;2;False
2023-01-18;3;73;2;0;3;False
2023-01-19;2;66;3;0;3;False
2023-01-20;3;77;2;0;2;False
2023-01-21;2;90;4;0;2;False
2023-01-22;5;84;3;0;3;False
2023-01-23;3;79;3;0;3;False
2023-01-24;3;80;5;0;2;False
2023-01-25;3;72;2;0;3;False
2023-01-26;2;74;5;0;3;False
2023-01-27;4;79;7;0;2;False
2023-01-28;2;84;2;0;3;False
2023-01-29;1;86;3;0;2;False
2023-01-30;2;73;3;0;4;False
2023-01-31;3;76;4;0;3;False
