date;Chinese economy;National newspapers;Confederation of British Industry (CBI);kentucky;air travel;isPartial
2023-01-01;0;5;0;88;54;False
2023-01-02;0;0;0;66;64;False
2023-01-03;0;0;0;66;42;False
2023-01-04;0;0;0;62;63;False
2023-01-05;0;0;0;58;52;False
2023-01-06;0;0;0;46;52;False
2023-01-07;0;0;0;67;38;False
2023-01-08;0;0;0;71;60;False
2023-01-09;0;0;0;70;36;False
2023-01-10;4;0;0;47;56;False
2023-01-11;0;0;0;52;64;False
2023-01-12;0;13;0;58;53;False
2023-01-13;0;0;0;45;43;False
2023-01-14;4;0;0;59;40;False
2023-01-15;0;6;0;49;47;False
2023-01-16;4;0;0;83;49;False
2023-01-17;0;7;0;39;40;False
2023-01-18;0;0;0;36;57;False
2023-01-19;0;0;0;44;52;False
2023-01-20;5;0;0;66;42;False
2023-01-21;10;0;0;59;45;False
2023-01-22;6;0;0;67;50;False
2023-01-23;0;10;0;55;51;False
2023-01-24;4;0;0;56;39;False
2023-01-25;0;11;0;100;54;False
2023-01-26;0;0;0;78;48;False
2023-01-27;0;6;0;57;33;False
2023-01-28;0;0;0;53;47;False
2023-01-29;0;0;0;61;43;False
2023-01-30;4;0;0;60;71;False
2023-01-31;0;0;0;52;60;False
