date;rebekah vardy;south korea;Television & radio;sussex;air travel;isPartial
2023-01-01;5;11;0;56;4;False
2023-01-02;5;8;0;56;5;False
2023-01-03;4;8;0;71;3;False
2023-01-04;3;7;0;65;5;False
2023-01-05;2;6;0;66;4;False
2023-01-06;3;6;0;59;4;False
2023-01-07;3;5;0;53;3;False
2023-01-08;2;8;0;57;5;False
2023-01-09;1;8;0;68;3;False
2023-01-10;2;8;0;71;4;False
2023-01-11;1;8;0;66;5;False
2023-01-12;1;9;0;72;4;False
2023-01-13;1;6;0;67;3;False
2023-01-14;2;7;0;54;3;False
2023-01-15;2;9;0;53;4;False
2023-01-16;1;8;0;70;4;False
2023-01-17;2;6;0;67;3;False
2023-01-18;0;7;0;68;4;False
2023-01-19;1;5;0;59;4;False
2023-01-20;1;7;0;59;3;False
2023-01-21;3;6;0;56;3;False
2023-01-22;3;8;0;53;4;False
2023-01-23;1;7;0;72;4;False
2023-01-24;1;8;0;69;3;False
2023-01-25;1;9;0;60;4;False
2023-01-26;2;7;0;100;4;False
2023-01-27;1;8;0;69;3;False
2023-01-28;1;6;0;52;4;False
2023-01-29;3;7;0;57;3;False
2023-01-30;1;9;0;71;5;False
2023-01-31;2;7;0;77;5;False
