date;amazon;Tony Burke;royal navy;Cotswolds holidays;air travel;isPartial
2023-01-01;90;0;0;0;0;False
2023-01-02;95;0;0;0;0;False
2023-01-03;94;0;0;0;0;False
2023-01-04;95;0;0;0;0;False
2023-01-05;93;0;0;0;0;False
2023-01-06;86;0;0;0;0;False
2023-01-07;93;0;0;0;0;False
2023-01-08;97;0;1;0;0;False
2023-01-09;89;0;0;0;0;False
2023-01-10;100;0;1;0;0;False
2023-01-11;87;0;1;0;0;False
2023-01-12;95;0;1;0;0;False
2023-01-13;81;0;1;0;0;False
2023-01-14;91;0;0;0;0;False
2023-01-15;90;0;0;0;0;False
2023-01-16;84;0;1;0;0;False
2023-01-17;82;0;1;0;0;False
2023-01-18;80;0;0;0;0;False
2023-01-19;88;0;0;0;0;False
2023-01-20;79;0;1;0;0;False
2023-01-21;88;0;1;0;0;False
2023-01-22;92;0;1;0;0;False
2023-01-23;86;0;1;0;0;False
2023-01-24;85;0;1;0;0;False
2023-01-25;87;0;1;0;0;False
2023-01-26;81;0;1;0;0;False
2023-01-27;87;0;1;0;0;False
2023-01-28;81;0;1;0;0;False
2023-01-29;93;0;1;0;0;False
2023-01-30;85;0;1;0;0;False
2023-01-31;87;0;1;0;0;False
