date;Luis Buñuel;Italy;Harlequins;School admissions;air travel;isPartial
2023-01-01;0;85;11;2;4;False
2023-01-02;0;88;3;5;4;False
2023-01-03;0;78;3;7;3;False
2023-01-04;0;82;3;10;4;False
2023-01-05;0;76;3;9;3;False
2023-01-06;0;95;3;7;3;False
2023-01-07;1;86;4;2;3;False
2023-01-08;0;100;12;4;4;False
2023-01-09;0;80;4;9;2;False
2023-01-10;0;78;1;10;4;False
2023-01-11;0;68;2;8;4;False
2023-01-12;0;76;3;8;4;False
2023-01-13;0;79;2;6;3;False
2023-01-14;0;85;3;4;3;False
2023-01-15;0;98;11;5;3;False
2023-01-16;0;91;4;6;3;False
2023-01-17;0;81;3;5;3;False
2023-01-18;0;77;3;6;4;False
2023-01-19;0;70;2;3;3;False
2023-01-20;0;73;5;5;3;False
2023-01-21;0;81;15;3;3;False
2023-01-22;0;97;5;2;3;False
2023-01-23;0;78;3;4;3;False
2023-01-24;0;82;2;4;3;False
2023-01-25;0;73;2;5;4;False
2023-01-26;1;67;3;4;3;False
2023-01-27;0;71;3;3;2;False
2023-01-28;0;77;3;1;3;False
2023-01-29;0;87;9;2;3;False
2023-01-30;0;76;3;6;5;False
2023-01-31;0;72;2;4;4;False
