date;Squid Game;Surveillance;Forest Green Rovers;essex;air travel;isPartial
2023-01-01;7;2;3;67;3;False
2023-01-02;6;2;1;66;4;False
2023-01-03;5;3;1;74;3;False
2023-01-04;3;2;0;70;4;False
2023-01-05;3;2;1;67;3;False
2023-01-06;5;2;1;67;3;False
2023-01-07;5;1;4;63;2;False
2023-01-08;4;2;1;65;4;False
2023-01-09;2;3;1;77;2;False
2023-01-10;3;3;1;76;4;False
2023-01-11;4;2;1;74;4;False
2023-01-12;3;3;1;77;3;False
2023-01-13;3;3;0;69;3;False
2023-01-14;5;2;1;66;3;False
2023-01-15;3;4;1;89;3;False
2023-01-16;3;3;1;82;3;False
2023-01-17;2;3;5;76;2;False
2023-01-18;3;3;0;72;4;False
2023-01-19;3;3;0;76;3;False
2023-01-20;4;2;2;71;3;False
2023-01-21;5;1;2;67;3;False
2023-01-22;4;1;1;71;3;False
2023-01-23;3;2;1;77;3;False
2023-01-24;4;2;2;77;2;False
2023-01-25;8;3;2;73;3;False
2023-01-26;7;3;10;71;3;False
2023-01-27;5;3;4;76;2;False
2023-01-28;5;3;5;67;3;False
2023-01-29;4;1;2;100;3;False
2023-01-30;3;3;1;86;4;False
2023-01-31;4;3;1;80;4;False
